Время;Температура охлаждающей жидкости (°C);Соотношение воздух/топливо;Положение дроссельной заслонки (%);Обороты двигателя (об/мин);Обороты холостого хода (об/мин);Желаемое положение регулятора холостого хода (шаг);Текущее положение регулятора ХХ (шаг);Коэффициент коррекции длительности впрыска топлива;Угол опережения зажигания (°ПКВ);Скорость автомобиля (км\ч);Напряжение бортсети (В);Желаемые обороты холостого хода (об\мин);Напряжение на датчике кислорода (В);Длительность импульса впрыска (мсек);Массовый расход воздуха (кг\ч);Цикловой расход воздуха (мг\такт);Часовой расход топлива (л\час);Путевой расход топлива (л\100км);Контрольная сумма ПЗУ (hех);Флаг готовности датчика кислорода;Флаг разрешения нагрева датчика кислорода;Флаг комплектации датчиком кислорода;Флаг комплектации адсорбером;Флаг комплектации клапаном рециркуляции;Флаг комплектации датчиком температуры воздуха;Флаг комплектации датчиком детонации;Флаг комплектации датчиком фазы;Флаг запрещения отсечки топлива;Флаг разрешения адаптации уставки холостого хода;Флаг комплектации потенциометром корректировки СО;Флаг разрешения адаптации нуля дросселя;Флаг разрешения асинхронной подачи топлива на пуске;Флаг разрешения постоянного хранения ошибок;Флаг комплектации датчиком скорости автомобиля;Флаг разрешения одновременного впрыска;Флаг разрешения асинхронного впрыска при ускорении;Флаг выключения двигателя;Флаг холостого хода;Флаг обогащения по мощности;Флаг блокировки подачи топлива;Флаг зоны регулирования по датчику кислорода;Флаг попадания в зону детонации;Флаг продувки адсорбера;Флаг сохранения результатов обучения по датчику кислорода;Флаг наличия холостого хода в прошлом цикле вычислений;Флаг разрешения блокировки выхода из режима холостого хода;Флаг попадания в зону детонации в прошлом цикле вычислений;Флаг продувки адсорбера в прошлом цикле вычислений;Флаг Обнаружена детонация;Флаг прошлого состояния датчика кислорода;Флаг текущего состояния датчика кислорода;Флаг Ошибка датчика синхронизации КВ;Флаг ошибка EEPROM;Флаг Ошибка нагревателя датчика кислорода;Флаг Ошибка датчика фазы;Флаг ошибка сброса процесора;Флаг ошибка ОЗУ;Флаг ошибка ПЗУ;Флаг Низкое бортовое напряжение;Флаг Низкий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Низкий уровень сигнала с кислородного датчика;Флаг Низкий уровень сигнала датчика положения дроссельной заслонки;Флаг Низкий уровень сигнала датчика массового расхода воздуха;Флаг Низкий уровень шума двигателя;Флаг Высокое бортовое напряжение;Флаг Высокий уровень сигнала с кислородного датчика;Флаг Высокий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Высокий уровень сигнала датчика положения дроссельной заслонки;Флаг Высокий уровень сигнала датчика массового расхода воздуха;Флаг Высокий уровень шума двигателя;Флаг Обрыв датчика детонации;Флаг Нет связи с иммобилайзером;Флаг Нет активности датчика кислорода;Флаг Нет отклика датчика кислорода при обеднении;Флаг Нет отклика датчика кислорода при обогащении;Флаг Ошибка датчика скорости;Флаг Ошибка регулятора холостого хода;АЦП канала датчика детонации (В);АЦП Датчик температуры охлаждающей жидкости (В);АЦП Датчик массового расхода воздуха (В);АЦП Бортовое напряжение (В);АЦП Датчик кислорода (В);АЦП Датчик положения дроссельной заслонки (В);Время (сек)
0.01;77;14;0;0;0;67;67;1;0;0;ноя.55;0;0.488;0;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0;0.72;1;11.636;янв.95;0.59;01.авг
0.02;77;14;0;0;0;67;67;1;0;0;ноя.55;0;0.488;0;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0;0.72;1;11.636;янв.95;0.59;01.сен
0.03;77;14;0;0;0;67;67;1;0;0;ноя.55;0;0.488;0;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0;0.72;1;11.636;янв.95;0.59;2
0.04;77;14;0;0;0;67;67;1;0;0;ноя.55;0;0.488;0;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0;0.72;1;11.636;янв.95;0.59;02.фев
0.05;77;14;0;0;0;67;67;1;0;0;ноя.55;0;0.488;0;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0;0.72;1;11.636;янв.95;0.59;02.мар
0.06;77;14;0;0;0;67;67;1;0;0;ноя.55;0;0.488;0;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0;0.72;1;11.636;янв.95;0.59;02.июн
0.07;77;14;0;0;0;67;67;1;0;0;окт.95;0;0.488;0;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0;0.72;1;11.636;янв.95;0.59;02.июл
0.08;77;14;0;0;0;67;67;1;0;0;окт.95;0;0.488;0;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0;0.72;01.фев;10.182;янв.95;0.59;02.авг
0.09;77;14;0;0;0;67;67;1;0;0;10.фев;0;0.488;8.928;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0;0.72;01.фев;10.182;янв.95;0.59;3
0.1;77;14;0;0;0;67;67;1;0;0;10.фев;0;0.488;8.928;0;0;0;511.99;255;нет;нет;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;мар.14;0.72;янв.37;10.636;янв.95;0.59;03.янв
